time_s,dominant_freq_hz
17.578667,37476.562
17.621334,8789.0625
17.664,8812.5
17.706667,8671.875
17.749332,8601.5625
17.792,8882.8125
17.834667,8835.9375
17.877333,9000.0
17.92,8906.25
17.962667,8742.1875
18.005333,8789.0625
18.048,8718.75
18.090666,8601.5625
18.133333,8601.5625
18.176,8859.375
18.218666,8812.5
18.261333,8601.5625
18.304,8765.625
18.346666,8835.9375
18.389334,8929.6875
18.432,8906.25
18.474667,8906.25
18.517334,8859.375
18.56,8976.5625
18.602667,37476.562
18.645334,37523.438
18.688,8625.0
18.730667,8976.5625
18.773333,8695.3125
18.816,8625.0
18.858667,37125.0
18.901333,37617.188
18.944,8742.1875
18.986666,8789.0625
19.029333,8765.625
19.072,8882.8125
19.114666,8882.8125
19.157333,8648.4375
19.2,8765.625
19.242666,8906.25
19.285334,9023.4375
19.328,8789.0625
19.370667,8882.8125
19.413334,8812.5
19.456,8695.3125
19.498667,8906.25
19.541334,8648.4375
19.584,8625.0
19.626667,8578.125
19.669333,37523.438
19.712,37453.125
19.754667,8765.625
19.797333,8578.125
19.84,8648.4375
19.882668,8671.875
19.925333,37429.688
19.968,8953.125
20.010666,8601.5625
20.053333,8976.5625
20.096,8578.125
20.138666,8695.3125
20.181334,8695.3125
20.224,8789.0625
20.266666,8906.25
20.309334,8859.375
20.352,8812.5
20.394667,8906.25
20.437334,8835.9375
20.48,8929.6875
20.522667,8601.5625
20.565332,9000.0
20.608,8742.1875
20.650667,9000.0
20.693333,8695.3125
20.736,37476.562
20.778667,37453.125
20.821333,37476.562
20.864,8859.375
20.906666,8953.125
20.949333,8812.5
20.992,8812.5
21.034666,37757.812
21.077333,8625.0
21.12,8882.8125
21.162666,8625.0
21.205334,8648.4375
21.248,8578.125
21.290667,8695.3125
21.333334,8882.8125
21.376,8812.5
21.418667,8906.25
21.461334,8953.125
21.504,8718.75
21.546667,8648.4375
21.589333,8695.3125
21.632,8695.3125
21.674667,9023.4375
21.717333,8929.6875
21.76,37500.0
21.802668,37476.562
21.845333,37453.125
21.888,8812.5
21.930666,8601.5625
21.973333,8859.375
22.016,36726.562
22.058666,8929.6875
22.101334,8671.875
22.144,8976.5625
22.186666,8789.0625
22.229334,9000.0
22.272,8648.4375
22.314667,8976.5625
22.357334,8742.1875
22.4,8976.5625
22.442667,8601.5625
22.485332,8812.5
22.528,9023.4375
22.570667,8671.875
22.613333,8625.0
22.656,8929.6875
22.698668,8742.1875
22.741333,8601.5625
22.784,8882.8125
22.826666,37476.562
22.869333,37500.0
22.912,9046.875
22.954666,9046.875
22.997334,8882.8125
23.04,8765.625
23.082666,8601.5625
23.125334,8742.1875
23.168,8601.5625
23.210667,8671.875
23.253334,8906.25
23.296,8882.8125
23.338667,8625.0
23.381332,8882.8125
23.424,8929.6875
23.466667,8648.4375
23.509333,9000.0
23.552,8835.9375
23.594667,8929.6875
23.637333,8882.8125
23.68,8695.3125
23.722666,8671.875
23.765333,8976.5625
23.808,8671.875
23.850666,8976.5625
23.893333,8718.75
23.936,37523.438
23.978666,37500.0
24.021334,8929.6875
24.064,8882.8125
24.106667,37757.812
24.149334,8906.25
24.192,8742.1875
24.234667,8601.5625
24.277334,8882.8125
24.32,8953.125
24.362667,8765.625
24.405333,8648.4375
24.448,8648.4375
24.490667,8742.1875
24.533333,8578.125
24.576,8789.0625
24.618668,8882.8125
24.661333,8765.625
24.704,8859.375
24.746666,8742.1875
24.789333,9046.875
24.832,8601.5625
24.874666,8718.75
24.917334,8953.125
24.96,37429.688
25.002666,8835.9375
25.045334,8976.5625
25.088,8882.8125
25.130667,36656.25
25.173334,37031.25
25.216,8789.0625
25.258667,8953.125
25.301332,8625.0
25.344,8625.0
25.386667,8625.0
25.429333,8625.0
25.472,8648.4375
25.514668,8976.5625
25.557333,8906.25
25.6,8648.4375
25.642666,8835.9375
25.685333,8882.8125
25.728,8718.75
25.770666,8601.5625
25.813334,8648.4375
25.856,8625.0
25.898666,8625.0
25.941334,8929.6875
25.984,37476.562
26.026667,37429.688
26.069334,9000.0
26.112,8976.5625
26.154667,8578.125
26.197332,8695.3125
26.24,37546.875
26.282667,8625.0
26.325333,8695.3125
26.368,8765.625
26.410667,8648.4375
26.453333,8906.25
26.496,8718.75
26.538666,8625.0
26.581333,8929.6875
26.624,8648.4375
26.666666,8882.8125
26.709333,8953.125
26.752,8742.1875
26.794666,8601.5625
26.837334,8554.6875
26.88,8835.9375
26.922667,8625.0
26.965334,8718.75
27.008,8812.5
27.050667,37453.125
27.093334,37476.562
27.136,8601.5625
27.178667,9000.0
27.221333,9000.0
27.264,8671.875
27.306667,37312.5
27.349333,8953.125
27.392,8718.75
27.434668,8812.5
27.477333,8882.8125
27.52,8812.5
27.562666,8976.5625
27.605333,8789.0625
27.648,8695.3125
27.690666,8648.4375
27.733334,8953.125
27.776,8953.125
27.818666,8953.125
27.861334,8671.875
27.904,9000.0
27.946667,8835.9375
27.989334,8671.875
28.032,8812.5
28.074667,8625.0
28.117332,37453.125
28.16,37476.562
28.202667,8929.6875
28.245333,8859.375
28.288,8648.4375
28.330667,8906.25
28.373333,37734.375
28.416,8929.6875
28.458666,8976.5625
28.501333,8906.25
28.544,8789.0625
28.586666,8671.875
28.629333,8718.75
28.672,9000.0
28.714666,8929.6875
28.757334,8859.375
28.8,8695.3125
28.842667,8812.5
28.885334,8718.75
28.928,8695.3125
28.970667,8906.25
29.013334,8718.75
29.056,9000.0
29.098667,8906.25
29.141333,8882.8125
29.184,9023.4375
29.226667,37523.438
29.269333,8859.375
29.312,8578.125
29.354666,8671.875
29.397333,8718.75
29.44,8578.125
29.482666,8671.875
29.525333,8695.3125
29.568,8718.75
29.610666,8929.6875
29.653334,8859.375
29.696,8929.6875
29.738667,8812.5
29.781334,8625.0
29.824,9023.4375
29.866667,8718.75
29.909334,8953.125
29.952,8906.25
29.994667,8976.5625
30.037333,8601.5625
30.08,9000.0
30.122667,8835.9375
30.165333,8882.8125
30.208,8976.5625
30.250668,8976.5625
30.293333,37500.0
30.336,37429.688
30.378666,8648.4375
30.421333,8835.9375
30.464,8789.0625
30.506666,8765.625
30.549334,8882.8125
30.592,8812.5
30.634666,9000.0
30.677334,8906.25
30.72,8812.5
30.762667,8835.9375
30.805334,8765.625
30.848,8976.5625
30.890667,8765.625
30.933332,8812.5
30.976,8718.75
31.018667,8906.25
31.061333,9023.4375
31.104,8882.8125
31.146667,8976.5625
31.189333,8671.875
31.232,8859.375
31.274666,8835.9375
31.317333,9000.0
31.36,8671.875
31.402666,37523.438
31.445333,37476.562
31.488,37500.0
31.530666,8765.625
31.573334,8812.5
31.616,8859.375
31.658667,38250.0
31.701334,8625.0
31.744,8859.375
31.786667,8695.3125
31.829334,8671.875
31.872,8953.125
31.914667,8789.0625
31.957333,8859.375
32.0,8812.5
